[[06/20 00:14:17][INFO] setup.py:   42: log file @ /raid/DATASETS/.zuble/vigia/.feat_extract/.2train/slowfast/.a/kinetics400/slowfast/stdout.log
[06/20 00:14:17][INFO] setup.py:   43: ckpt dir @ /raid/DATASETS/.zuble/vigia/.feat_extract/.2train/slowfast/.a/kinetics400/slowfast/ckpts
[06/20 00:14:17][INFO] train.py:   71: debub path @ /raid/DATASETS/.zuble/vigia/.feat_extract/.2train/slowfast/.a/kinetics400/slowfast/debug
[06/20 00:14:17][INFO] dumping_callback.py:  799: Enabled dumping callback in thread MainThread (dump root: /raid/DATASETS/.zuble/vigia/.feat_extract/.2train/slowfast/.a/kinetics400/slowfast/debug, tensor debug mode: FULL_HEALTH)
[06/20 00:14:17][INFO] train.py:   80: train precision @ float32
[06/20 00:14:17][INFO] loader.py:   60: train slowfast kinetics400 , bs 4
[06/20 00:16:06][INFO] loader.py:   85: TextLineDataset @ /media/jtstudents/T77/kinetics400/.zu/kinetics400_train_list_videos.txt w/ 240436 elements
[06/20 00:16:06][INFO] loader.py:   93: fstep slow : 16 (tau)
[06/20 00:16:06][INFO] loader.py:   94: fstep fast : 2.0 (tau/alpha) 
[06/20 00:16:06][INFO] loader.py:   71: fmax: 32 fstep: 2
[06/20 00:16:07][INFO] loader.py:  248: out decode_video (TensorSpec(shape=<unknown>, dtype=tf.uint8, name=None), TensorSpec(shape=<unknown>, dtype=tf.int32, name=None))
[06/20 00:16:07][INFO] loader.py:  256: out temporal_transform (TensorSpec(shape=<unknown>, dtype=tf.uint8, name=None), TensorSpec(shape=<unknown>, dtype=tf.int32, name=None))
[06/20 00:16:07][INFO] loader.py:  260: out spatial_transform (TensorSpec(shape=(1, None, 224, 224, None), dtype=tf.float32, name=None), TensorSpec(shape=<unknown>, dtype=tf.int32, name=None))
[06/20 00:16:08][INFO] loader.py:  267: out process_batch (TensorSpec(shape=(4, 32, 224, 224, 3), dtype=tf.float32, name=None), TensorSpec(shape=<unknown>, dtype=tf.int32, name=None))
[06/20 00:16:09][INFO] loader.py:  147: train /media/jtstudents/T77/kinetics400/videos_train/shaving_legs/YmumsFxA2v8.mp4,293 152->[ 32 320 320   3]
[06/20 00:16:09][INFO] loader.py:  147: train /media/jtstudents/T77/kinetics400/videos_train/scuba_diving/RcfznQlbrA4.mp4,286 240->[ 32 320 426   3]
[06/20 00:16:09][INFO] loader.py:  147: train /media/jtstudents/T77/kinetics400/videos_train/swinging_on_something/mANY9rJf_pA.mp4,344 300->[ 32 320 392   3]
[06/20 00:16:09][INFO] loader.py:  147: train /media/jtstudents/T77/kinetics400/videos_train/carrying_baby/BRYn6yL-gEs.mp4,44 300->[ 32 320 400   3]
[06/20 00:16:09][INFO] loader.py:  147: train /media/jtstudents/T77/kinetics400/videos_train/reading_book/YsAhM3jDij8.mp4,264 300->[ 32 320 426   3]
[06/20 00:16:09][INFO] loader.py:  147: train /media/jtstudents/T77/kinetics400/videos_train/blowing_nose/vzpUSlWKP0Q.mp4,26 300->[ 32 320 426   3]
[06/20 00:16:09][INFO] loader.py:  147: train /media/jtstudents/T77/kinetics400/videos_train/skydiving/Xwg_SYp-o7Q.mp4,312 300->[ 32 320 568   3]
[06/20 00:16:09][INFO] loader.py:  147: train /media/jtstudents/T77/kinetics400/videos_train/catching_or_throwing_baseball/GoHNT0OB7XE.mp4,48 300->[ 32 320 426   3]
[06/20 00:16:10][INFO] loader.py:  147: train /media/jtstudents/T77/kinetics400/videos_train/deadlifting/XxDao6Gh1D4.mp4,88 299->[ 32 320 426   3]
[06/20 00:16:10][INFO] loader.py:  147: train /media/jtstudents/T77/kinetics400/videos_train/pushing_car/oKNwaoX7w3g.mp4,261 197->[ 32 320 426   3]
[06/20 00:16:10][INFO] loader.py:  147: train /media/jtstudents/T77/kinetics400/videos_train/ripping_paper/2gsYyurCQao.mp4,276 300->[ 32 320 426   3]
